rating,movie,year,country,rating_ball,overview,director,screenwriter,actors,url_logo
114,Один дома ,1990,США,8.232,Американское семейство отправляется из Чикаго в Европу; но в спешке сборов бестолковые родители забывают дома… одного из своих детей. Юное создание; однако; не теряется и демонстрирует чудеса изобретательности. И когда в дом залезают грабители; им приходится не раз пожалеть о встрече с милым крошкой., Крис Коламбус, Джон Хьюз,Маколей Калкин; Джо Пеши; Дэниел Стерн; Кэтрин О’Хара; Джон Хёрд,'https://st.kp.yandex.net/images/film_iphone/iphone360_8124.jpg'
115,День сурка ,1993,США,8.104,Телевизионный комментатор Фил Коннорс каждый год приезжает в маленький городок в штате Пенсильвания на празднование Дня сурка. Но на этот раз веселье рискует зайти слишком далеко. Время сыграло с ним злую шутку: оно взяло да и остановилось.Теперь на календаре Фила чернеет одна и та же дата — 2 февраля; из которой он никак не может выбраться. Неунывающий ведущий пытается извлечь выгоду из своего комичного положения: впереди у него уйма времени и безмятежное предсказуемое будущее.Отныне с ним не случится ничего плохого… и ничего хорошего. У Фила осталась одна заветная мечта; простая и незамысловатая — 3 февраля…, Харольд Рэмис, Дэнни Рубин;  Харольд Рэмис,Билл Мюррей; Энди МакДауэлл; Крис Эллиот; Стивен Тоболовски; Брайан Дойл-Мюррей,'https://st.kp.yandex.net/images/film_iphone/iphone360_527.jpg'
116,Казино ,1995,США,8.126,Никто не может сравниться с Сэмом Ротстином. Никто не умеет зарабатывать деньги; как он. Никто не умеет работать так самоотверженно и аккуратно; как трудяга Сэм. За свои неоспоримые достоинства Ротстин получил кличку Ас. И именно поэтому боссы мафии решили поручить Асу заправлять огромным шикарным казино в Лас-Вегасе. А чтобы Сэму никто не мешал работать; мафиози отправили вслед за Асом друга детства Ротстина — Никки Санторо; отпетого бандита и безжалостного головореза., Мартин Скорсезе, Николас Пиледжи;  Мартин Скорсезе,Роберт Де Ниро; Шэрон Стоун; Джо Пеши; Джеймс Вудс; Дон Риклз,'https://st.kp.yandex.net/images/film_iphone/iphone360_2494.jpg'
117,Артист ,2011,Франция,7.942,Голливуд; 1927 год. Звезда немого кино Джордж Валентайн и слышать не хочет о микрофонах на съемочной площадке. А безнадежно влюбленная в Валентайна статистка Пеппи Миллер стремительно набирает популярность в новом звуковом кинематографе. Только любовь поможет героям обрести счастье., Мишель Хазанавичус, Мишель Хазанавичус,Жан Дюжарден; Беренис Бежо; Джон Гудман; Джеймс Кромуэлл; Пенелопа Энн Миллер,'https://st.kp.yandex.net/images/film_iphone/iphone360_539550.jpg'
118,Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра ,1980,СССР,8.379,Доктор Ватсон рано похоронил своего друга в водах Рейхенбахского водопада. Шерлок Холмс не так прост. Он воскрес из мертвых; чтобы вступить в схватку с последним безжалостным убийцей из шайки гения преступного мира профессора Мориарти…, Игорь Масленников, Владимир Валуцкий;  Артур Конан Дойл,Василий Ливанов; Виталий Соломин; Рина Зеленая; Борислав Брондуков; Игорь Дмитриев,'https://st.kp.yandex.net/images/film_iphone/iphone360_368937.jpg'
119,Аладдин ,1992,США,8.129,В славном граде Аграба живёт Аладдин; веселый воришка с золотым сердцем. Живёт и не знает; что вскоре его ждёт величайшее приключение в жизни. Ведь только с его помощью чёрный маг Джафар может овладеть невероятным сокровищем — лампой; в которой заключён исполняющий желания могущественный Джинн. И только хитроумие; смекалка и доброта Аладдина и его друзей — обезьянки Абу; принцессы Жасмин и самого Джинна — способны помешать Джафару завладеть лампой и захватить власть над миром., Рон Клементс;  Джон Маскер, Рон Клементс;  Джон Маскер;  Тед Эллиот; ...,Скотт Венгер; Робин Уильямс; Линда Ларкин; Джонатан Фриман; Фрэнк Уэлкер,'https://st.kp.yandex.net/images/film_iphone/iphone360_2361.jpg'
120,Добро пожаловать; или Посторонним вход воспрещен ,1964,СССР,8.263,Пионер Костя Иночкин; будучи в пионерском лагере; переплыл реку и оказался на запретной для посещений территории; за что и был изгнан его начальником товарищем Дыниным. Не желая доводить бабушку до инфаркта своим досрочным прибытием; мальчик тайно возвращается в лагерь; где пионеры так же тайно содержат его и предпринимают все меры; чтобы не состоялся родительский день. Ведь именно в этот день Костина бабушка заявится в лагерь…, Элем Климов, Семен Лунгин;  Илья Нусинов,Виктор Косых; Евгений Евстигнеев; Арина Алейникова; Илья Рутберг; Лидия Смирнова,'https://st.kp.yandex.net/images/film_iphone/iphone360_44238.jpg'
121,Новые времена ,1936,США,8.099,«Новые времена» — это эмоциональный; выдержанный в комическом ключе; отклик на перекосы машинной эпохи. Маленький Бродяга не желает быть «винтиком» в огромной мега-машине промышленного производства и так похожего на него человеческого общества. Чарли сражается с тупыми богачами; всесильными полицейскими; бездушными начальниками конвейерного производства.Иногда он выигрывает в этих сражениях; но чаще проигрывает; в конце концов; бесстрашно идет навстречу рассвету. Хотя «Новые времена» считается последним немым фильмом Чарли Чаплина; в нем Маленький Бродяга в первый и в последний раз обрел голос.Правда; он не заговорил; а запел в финальных кадрах картины; символизируя прощание с прекрасным периодом немого кинематографа., Чарльз Чаплин, Чарльз Чаплин,Чарльз Чаплин; Полетт Годдар; Генри Бергман; Тайни Сэндфорд; Честер Конклин,'https://st.kp.yandex.net/images/film_iphone/iphone360_408.jpg'
122,Могила светлячков ,1988,Япония,8.177,Последние дни Второй мировой войны; американская авиация бомбит беззащитные японские города. В водоворот каждодневного кошмара попадают 14-летний Сэйта и его сестренка Сэцуко — потеряв близких; они остались совсем одни. Мальчик в одночасье становится взрослым и осознаёт; что от него зависит жизнь маленькой сестры.Укрывшись в заброшенном убежище; Сэйта и Сэцуко пытаются выжить собственными силами. И пусть в их глазах смертоносный огонь в небе — всего лишь огоньки светлячков; жестокая война не щадит даже невинные детские души; вынося им беспощадный приговор., Исао Такахата, Исао Такахата;  Акиюки Носака,Цутому Тацуми; Аяно Сираиси; Ёсико Синохара; Акэми Ямагути; Тадаси Накамура,'https://st.kp.yandex.net/images/film_iphone/iphone360_8219.jpg'
123,Невидимая сторона ,2009,США,8.150,Благополучная белая семья берет к себе толстого; неграмотного бездомного темнокожего подростка и помогает стать ему спортивной звездой; и поступить в университет., Джон Ли Хэнкок, Джон Ли Хэнкок;  Майкл Льюис,Сандра Буллок; Куинтон Аарон; Тим Макгроу; Джей Хед; Лили Коллинз,'https://st.kp.yandex.net/images/film_iphone/iphone360_450213.jpg'
124,Город Бога ,2002,Бразилия,8.018,Фильм охватывает события; происходящие на протяжении тридцати лет в так называемом «Городе Бога» — трущобах в бразильском городе Рио-де-Жанейро. Главные герои фильма — парень по кличке «Ракета»; балансирующий между честной жизнью и мелкими правонарушениями и его знакомый Дадинью; который с восьми лет начал карьеру гангстера., Фернанду Мейреллиш;  Катя Лунд, Браулио Мантовани;  Паолу Линс,Алешандре Родригис; Леандру Фирмину; Феллипе Хаагенсен; Дуглас Силва; Джонатан Хаагенсен,'https://st.kp.yandex.net/images/film_iphone/iphone360_439.jpg'
125,Любовь и голуби ,1984,СССР,8.263,Ликвидируя неисправность лебедки; Василий Кузякин получил травму и путевку на юг. Встретил роковую женщину Раису Захаровну и… вернулся Вася с курорта не к себе в деревню; а в дом Раисы Захаровны. Началась для него новая жизнь; в которой было много непонятного и интересного; но не было дома; где остались Надя; дети и голуби…, Владимир Меньшов, Владимир Гуркин,Александр Михайлов; Нина Дорошина; Людмила Гурченко; Сергей Юрский; Наталья Тенякова,'https://st.kp.yandex.net/images/film_iphone/iphone360_45146.jpg'
126,Как украсть миллион ,1966,США,8.204,Действие происходит в Париже. Молодая девушка; дочь миллионера; втайне промышляющего подделкой произведений искусства; и преступник; должны выкрасть с выставки изобразительного искусства в музее один из «шедевров» отца девушки; чтобы спасти его от разоблачения., Уильям Уайлер, Гарри Кернитц;  Джордж Брэдшоу,Одри Хепберн; Питер О’Тул; Илай Уоллак; Хью Гриффит; Шарль Буайе,'https://st.kp.yandex.net/images/film_iphone/iphone360_10156.jpg'
127,Семь жизней ,2008,США,8.177,Инженер Бен отправляется в необычное путешествие. В ходе своей поездки он встречает семерых незнакомцев; включая смертельно больную Эмили; которая называет себя девушкой с подбитыми крыльями. Бен неожиданно влюбляется в нее; что сильно усложняет его первоначальный план. Сможет ли он разгадать послание судьбы?, Габриэле Муччино, Грант Нипорте,Уилл Смит; Розарио Доусон; Вуди Харрельсон; Майкл Или; Барри Пеппер,'https://st.kp.yandex.net/images/film_iphone/iphone360_395787.jpg'
128,Шерлок Холмс и доктор Ватсон: Король шантажа ,1980,СССР,8.355,К Шерлоку Холмсу за помощью обращается некая леди Брекуэлл; одна из жертв известного лондонского шантажиста по имени Чарльз Огестос Милвертон. Если великий сыщик не остановит циничного негодяя; семейное благополучие молодой леди окажется под угрозой. Шерлок Холмс и доктор Ватсон как истинные джентельмены не могут отказать в помощи беззащитной женщине., Игорь Масленников, Владимир Валуцкий;  Артур Конан Дойл,Василий Ливанов; Виталий Соломин; Рина Зеленая; Валентина Панина; Борислав Брондуков,'https://st.kp.yandex.net/images/film_iphone/iphone360_368936.jpg'
129,Легенда о пианисте ,1998,Италия,8.138,В первый день XX века на пароходе «Вирджиния» в коробке из-под лимонов был найден младенец. Мальчик рос и проводил свою жизнь на громадном океанском лайнере; курсировавшем между Америкой и Европой; и он ни разу не сходил на берег.Загадочным образом научившись играть на рояле; Дэнни Будманн Т. Д. Лемон 1900-й стал настоящим виртуозом и развлекал публику; играя в ресторанном оркестре. С ним связаны удивительные истории; а его жизнь превратилась в легенду., Джузеппе Торнаторе, Алессандро Барикко;  Джузеппе Торнаторе,Тим Рот; Прюитт Тэйлор Винс; Мелани Тьерри; Билл Нанн; Кларенс Уильямс III,'https://st.kp.yandex.net/images/film_iphone/iphone360_8335.jpg'
130,Меня зовут Кхан ,2010,Индия,8.091,Ризван Кхан; мусульманин из Индии; переезжает в Сан-Франциско и живет со своим братом и невесткой. Ризван; страдающий от Синдрома Аспергера; влюбляется в Мандиру. Несмотря на протесты его семьи; они женятся и начинают вместе небольшой бизнес. Они живут счастливо до 11 сентября 2001 года; когда отношение к мусульманам резко меняется. Когда происходит трагедия; Мандира оказывается раздавленной и их отношения дают трещину. Ризван растерян и очень расстроен тем; что любовь всей его жизни покинула его. Чтобы вернуть ее; он предпринимает трогательное и вдохновляющее путешествие через всю Америку., Каран Джохар, Шибани Батижа;  Ниранджан Иенгар,Шах Рукх Кхан; Каджол; Кэти А. Кин; Кентон Дюти; Бенни Нивз,'https://st.kp.yandex.net/images/film_iphone/iphone360_406340.jpg'
131,Афера ,1973,США,8.138,В 1930-е годы двое отпетых мошенников пытаются отомстить главарю мафии за смерть их общего друга с помощью одной из самых неожиданных афер в истории кино; которая к тому же заканчивается удивительным и забавным образом., Джордж Рой Хилл, Дэвид С. Уорд,Пол Ньюман; Роберт Редфорд; Роберт Шоу; Чарльз Дёрнинг; Рей Уолстон,'https://st.kp.yandex.net/images/film_iphone/iphone360_383.jpg'
132,Привидение ,1990,США,8.164,Влюблённая пара Сэм и Молли возвращается домой после приятного вечера; когда на них нападает грабитель. Защищаясь; Сэм погибает и становится призраком. Он узнаёт; что его смерть не была случайной; а над его возлюбленной нависла смертельная опасность. Чтобы предупредить Молли; Сэм начинает обход практикующих медиумов и; о чудо! — находит женщину; которая действительно может его слышать. Только вот сама она не горит желанием помогать назойливому привидению., Джерри Цукер, Брюс Джоэл Рубин,Патрик Суэйзи; Деми Мур; Вупи Голдберг; Тони Голдуин; Рик Авилес,'https://st.kp.yandex.net/images/film_iphone/iphone360_1991.jpg'
133,Танцующий с волками ,1990,США,8.110,США во времена Гражданской войны. Лейтенант Джон Данбар после ранения в бою просит перевести его на новое место службы ближе к западной границе США. Новое место его службы — отдалённый маленький форт. Командир покончил жизнь самоубийством; а попутчик Данбара погиб в стычке с индейцами после того; как довез лейтенанта до места назначения. Людей; знающих; что Данбар остался один в форте и должен выжить в условиях суровой природы и в соседстве с кажущимися негостеприимными коренными обитателями Северной Америки; просто не осталось. Постепенно лейтенант осваивается и заводит дружбу с индейцами., Кевин Костнер, Майкл Блейк,Кевин Костнер; Мэри МакДоннелл; Грэм Грин; Родни А. Грант; Флойд «Ред Кроу» Уэстермен,'https://st.kp.yandex.net/images/film_iphone/iphone360_2037.jpg'
134,12 стульев ,1971,СССР,8.244,Во время революции и последовавшего за ней краткого периода военного коммунизма многие прятали свои ценности как можно надежнее. И вот Ипполит Матвеевич Воробьянинов; бывший Старгородский предводитель дворянства и светский лев; а ныне — скромный делопроизводитель ЗАГСа; узнает от умирающей тещи; что некогда она спрятала свои бриллианты и жемчуга в общей сложности на 150 000 золотых рублей под обивку одного из двенадцати стульев гостиного гарнитура работы известного мастера Гамбса.Бросив все; Воробьянинов бросается на поиски стульев; в чем ему; конечно же; небескорыстно; берется помочь молодой авантюрист; «великий комбинатор» Остап Бендер. Найти следы разрозненного гарнитура непросто. Не облегчает положения и то; что перед смертью теща Воробьянинова открыла тайну сокровищ и своему исповеднику; отцу Федору; всю жизнь мечтавшему о собственном свечном заводике в Самаре…, Леонид Гайдай, Владлен Бахнов;  Леонид Гайдай;  Илья Ильф; ...,Арчил Гомиашвили; Сергей Филиппов; Михаил Пуговкин; Наталья Крачковская; Наталья Воробьева,'https://st.kp.yandex.net/images/film_iphone/iphone360_46789.jpg'
135,Жизнь Дэвида Гейла ,2002,США,8.057,Дэвид Гейл — человек; который пробовал жить в соответствии со своими принципами; но; в причудливом повороте судьбы; этот преданный отец; популярный профессор и ярый противник смертной казни окажется в камере смертников за убийство активистки Констанции Харравей. За три дня до исполнения приговора Гейл соглашается дать интервью репортеру Битси Блум.Но журналистка вскоре понимает; что ее участие в этом деле не ограничится одним интервью и что жизнь человека находится в ее руках. Поставив на кон свою собственную безопасность; она начинает расследовать те ужасные события; которые окружали смерть Констанции., Алан Паркер, Чарльз Рэндольф,Кевин Спейси; Кейт Уинслет; Лора Линни; Гэбриел Манн; Мэтт Крэйвен,'https://st.kp.yandex.net/images/film_iphone/iphone360_738.jpg'
136,Рэй ,2004,США,8.050,История жизни великого американского музыканта Рэя Чарльза. Нищее детство; потеря брата; ранняя слепота; наркотики; женщины; 12 детей; борьба с расизмом; а также незаурядный талант; блестящая карьера и настоящая революция в музыке., Тейлор Хэкфорд, Джеймс Л. Уайт;  Тейлор Хэкфорд,Джейми Фокс; Керри Вашингтон; Реджина Кинг; Клифтон Пауэлл; Гарри Дж. Ленникс,'https://st.kp.yandex.net/images/film_iphone/iphone360_5319.jpg'
137,Шерлок Холмс и доктор Ватсон: Сокровища Агры ,1983,СССР,8.348,Здесь есть все — таинственные обстоятельства убийства; сверкающие драгоценности; колоритнейшие фигуры. Но главное — в ходе расследования доктор Ватсон встречает женщину; с которой; быть может; надолго свяжет свою жизнь…, Игорь Масленников, Игорь Масленников;  Артур Конан Дойл,Василий Ливанов; Виталий Соломин; Рина Зеленая; Борислав Брондуков; Екатерина Зинченко,'https://st.kp.yandex.net/images/film_iphone/iphone360_77264.jpg'
138,Терминал ,2004,США,8.069,Фильм рассказывает историю Виктора Наворски; отправившегося в Нью-Йорк из Восточной Европы. Пока Виктор летел в самолете; на его родине произошел государственный переворот. Оказавшись в международном аэропорту имени Джона Кеннеди с паспортом ниоткуда; он не имеет права въехать в Соединенные Штаты и должен коротать свои дни и ночи на скамейках у выхода 67; пока война в его родной стране не закончится.Тянутся недели и месяцы; и Виктор обнаруживает; что небольшой мирок терминала может быть наполнен абсурдом; щедростью; амбициями; развлечениями; желанием сохранить свой статус; интуитивной прозорливостью и даже любовью к очаровательной стюардессе Амелии. Виктору удается завоевать симпатии всех; кроме одного человека — чиновника аэропорта Фрэнка Диксона; который считает его бюрократической ошибкой; проблемой; которую он не может контролировать; но от которой жаждет избавиться., Стивен Спилберг, Саша Джерваси;  Джефф Натансон;  Эндрю Никкол,Том Хэнкс; Кэтрин Зета-Джонс; Стэнли Туччи; Чи МакБрайд; Диего Луна,'https://st.kp.yandex.net/images/film_iphone/iphone360_6877.jpg'
139,Самый быстрый Indian ,2005,Новая Зеландия,8.029,История жизни знаменитого новозеландца Берта Монро; который потратил десятилетия жизни на переоснащение своего любимого мотоцикла марки «Индиан» 1920 года выпуска с максимальной скоростью в 58 миль/ч в гоночный болид для установления рекорда скорости., Роджер Дональдсон, Роджер Дональдсон,Энтони Хопкинс; Аарон Мерфи; Крис Уильямс; Дайан Лэдд; Кристофер Лоуфорд,'https://st.kp.yandex.net/images/film_iphone/iphone360_81512.jpg'
140,Назад в будущее 3 ,1990,США,8.168,Из газет 1955 года Марти узнает; что доктор Браун погиб еще сто лет назад. Несмотря на просьбы Дока не навещать его в XIX веке; Марти вновь хочет вмешаться в ход событий и на машине времени уносится в 1885 год; навстречу Дикому Западу. Это путешествие; как и все прежние; не обходится без опасных приключений; но смелый Марти; рискуя жизнью; предотвращает трагедию в жизни Эммета Брауна. Тот; в свою очередь; без памяти влюбляется в очаровательную незнакомку; которую спасает от гибели; и поездка домой — в будущее — теряет для него всякий смысл…, Роберт Земекис, Роберт Земекис;  Боб Гейл,Майкл Дж. Фокс; Кристофер Ллойд; Мэри Стинберген; Томас Ф. Уилсон; Лиа Томпсон,'https://st.kp.yandex.net/images/film_iphone/iphone360_7103.jpg'
141,Умница Уилл Хантинг ,1997,США,8.074,Уилл Хантинг — 20-летний вундеркинд из Бостона; который то и дело ввязывается в неприятные истории. И когда полиция арестовывает его за очередную драку; профессор математики берет его под свою опеку; но при одном условии: Уилл должен пройти курс психотерапии. Сеансы «перевоспитания»; начавшиеся с недоверия; постепенно перерастают в дружбу между Уиллом и его наставником., Гас Ван Сент, Мэтт Дэймон;  Бен Аффлек,Мэтт Дэймон; Робин Уильямс; Бен Аффлек; Стеллан Скарсгард; Минни Драйвер,'https://st.kp.yandex.net/images/film_iphone/iphone360_539.jpg'
142,Славные парни ,1990,США,8.117,История о Генри Хилле — начинающем гангстере; занимающемся грабежами вместе с подельниками Джими Конвеем и Томми Де Вито; которые с легкостью убивают любого; кто встаёт у них на пути., Мартин Скорсезе, Николас Пиледжи;  Мартин Скорсезе,Роберт Де Ниро; Рэй Лиотта; Джо Пеши; Лоррейн Бракко; Пол Сорвино,'https://st.kp.yandex.net/images/film_iphone/iphone360_350.jpg'
143,Пираты Карибского моря: Сундук мертвеца ,2006,США,8.089,Вновь оказавшись в ирреальном мире; лихой капитан Джек Воробей неожиданно узнает; что является должником легендарного капитана «Летучего Голландца» Дэйви Джонса. Джек должен в кратчайшие сроки решить эту проблему; иначе ему грозит вечное проклятие и рабское существование после смерти. Вдобавок ко всему; срывается свадьба Уилла Тернера и Элизабет Суонн; которые вынуждены составить Джеку компанию в его злоключениях…, Гор Вербински, Тед Эллиот;  Терри Россио;  Стюарт Битти; ...,Джонни Депп; Орландо Блум; Кира Найтли; Джек Девенпорт; Билл Найи,'https://st.kp.yandex.net/images/film_iphone/iphone360_63991.jpg'
144,Лицо со шрамом ,1983,США,8.181,Весной 1980 года был открыт порт Мэйриэл Харбор; и тысячи кубинских беженцев ринулись в Соединенные Штаты на поиски Американской Мечты. Один из них нашел ее на залитых солнцем улицах Майами. Богатство; власть и страсть превзошли даже самые невероятные его мечты. Его звали Тони Монтана. Мир запомнил его под другим именем — «Лицо со шрамом»…, Брайан Де Пальма, Оливер Стоун;  Армитэдж Трэйл;  Бен Хект; ...,Аль Пачино; Стивен Бауэр; Мишель Пфайффер; Мэри Элизабет Мастрантонио; Роберт Лоджа,'https://st.kp.yandex.net/images/film_iphone/iphone360_4695.jpg'
145,На несколько долларов больше ,1965,Италия,8.165,Заработать несколько лишних долларов честным путем на диком Западе не проблема; если у тебя есть проверенный кольт и разрешение властей на отстрел бандитов. Этим путем и идут бок о бок профессиональные охотники за головами негодяев «Человек без имени» и полковник Мортимер; общая цель которых — преступная банда мексиканца Индио., Серджио Леоне, Серджио Леоне;  Фульвио Морселла;  Лучиано Винчензони; ...,Клинт Иствуд; Ли Ван Клиф; Джан Мария Волонте; Марио Брега; Луиджи Пистилли,'https://st.kp.yandex.net/images/film_iphone/iphone360_8190.jpg'
146,Ледниковый период ,2002,США,8.015,Действие разворачивается 20 тыс. лет назад. Чтобы избежать приближающегося из-за наступления ледникового периода холода; животные мигрируют на юг. Однако некоторые из них всё-таки решают остаться — одинокий; угрюмый мамонт Манфред; а также бесшабашный ленивец Сид.Случайно эта парочка наталкивается на человеческого детёныша. Они решаются вернуть его людям и отправляются в путешествие. По пути они встречают саблезубого хитрого тигра. И теперь этой веселой компании предстоят забавные приключения!, Крис Уэдж;  Карлос Салдана, Майкл Дж. Уилсон;  Майкл Берг;  Питер Экерман; ...,Рэй Романо; Джон Легуизамо; Дэнис Лири; Горан Вишнич; Джек Блэк,'https://st.kp.yandex.net/images/film_iphone/iphone360_707.jpg'
147,Головоломка ,2015,США,8.008,Райли — обычная 11-летняя школьница; и; как у каждого из нас; ее поведение определяют пять базовых эмоций: Радость; Печаль; Страх; Гнев и Брезгливость. Эмоции живут в сознании девочки и каждый день помогают ей справляться с проблемами; руководя всеми ее поступками. До поры до времени эмоции живут дружно; но вдруг оказывается; что Райли и ее родителям предстоит переезд из небольшого уютного городка в шумный и людный мегаполис. Каждая из эмоций считает; что именно она лучше прочих знает; что нужно делать в этой непростой ситуации; и в голове у девочки наступает полная неразбериха. Чтобы наладить жизнь в большом городе; освоиться в новой школе и подружиться с одноклассниками; эмоциям Райли предстоит снова научиться работать сообща., Пит Доктер;  Роналдо Дель Кармен, Пит Доктер;  Мэг ЛеФов;  Джош Кули; ...,Эми Полер; Филлис Смит; Ричард Кайнд; Билл Хейдер; Льюис Блэк,'https://st.kp.yandex.net/images/film_iphone/iphone360_645118.jpg'
148,Король говорит! ,2010,Великобритания,7.977,Сюжет ленты расскажет о герцоге; который готовится вступить в должность британского короля Георга VI; отца нынешней королевы Елизаветы II. После того; как его брат отрекается от престола; герой неохотно соглашается на трон. Измученный страшным нервным заиканием и сомнениями в своих способностях руководить страной; Георг обращается за помощью к неортодоксальному логопеду по имени Лайонел Лог., Том Хупер, Дэвид Сайдлер,Колин Фёрт; Джеффри Раш; Хелена Бонем Картер; Гай Пирс; Тимоти Сполл,'https://st.kp.yandex.net/images/film_iphone/iphone360_485311.jpg'
149,Блеф ,1976,Италия,8.232,Белль Дюк имеет старые счеты с Филиппом Бэнгом; который отбывает свой срок за решёткой. Для того чтобы поквитаться с Филиппом; Белль Дюк вступает в сговор с другим аферистом по имени Феликс; чтобы тот организовал побег Филиппа Бенга из тюрьмы.Побег удаётся; но парочка заодно обманывает и Белль Дюк; исчезнув прямо из-под её носа. Выясняется; что и Филипп Бэнг; в свою очередь; не прочь отомстить Белль Дюк. Для этого он задумывает грандиозную мистификацию; сродни покерному блефу…, Серджио Корбуччи, Массимо Де Рита;  Серджио Корбуччи;  Микки Нокс; ...,Адриано Челентано; Энтони Куинн; Коринн Клери; Капюсин; Уго Болонья,'https://st.kp.yandex.net/images/film_iphone/iphone360_10179.jpg'
150,Ромео и Джульетта ,1968,Великобритания,8.210,На балу во дворце Капулетти зарождается любовь двух юных существ; судьбою обреченных на ненависть. Ромео Монтекки и Джульетта Капулетти полюбили друг друга на свою беду; ведь их семьи ведут смертельную вражду уже многие; многие годы…Но их любовь сильнее родовой вражды; сильнее предрассудков и непреодолимых препятствий. Великая сила этой любви побеждает все; даже смерть…, Франко Дзеффирелли, Франко Брузати;  Мазолино Д’амико;  Франко Дзеффирелли; ...,Леонард Уайтинг; Оливия Хасси; Джон МакИнери; Майло О’Ши; Пэт Хейвуд,'https://st.kp.yandex.net/images/film_iphone/iphone360_15204.jpg'
151,Перед классом ,2008,США,8.076,С шести лет Брэд страдает синдромом Туретта. Его симптомы — частые моторные и вокальные тики; которые невозможно подавить. Тем не менее Брэд бросает вызов всем барьерам и неприятностям; и даже двадцать четыре отказа подряд не останавливают его на пути к мечте стать учителем., Питер Уэрнер, Томас Рикман;  Брэд Коэн;  Лиза Высоцки,Джеймс Волк; Трит Уильямс; Доминик Скотт Кэй; Сара Дрю; Кэтлин Йорк,'https://st.kp.yandex.net/images/film_iphone/iphone360_428457.jpg'
152,Планета Ка-Пэкс ,2001,Германия,8.015,"В Манхэттенский психиатрический институт привозят странного человека в черных очках. Он зовет себя Протом и утверждает; что его родина — далекая планета Ка-Пэкс; откуда он мгновенно перенесся на Землю в луче света. Несмотря на все усилия; опытному доктору Пауэллу не удается разгадать загадку таинственного пациента; который охотно и весьма убедительно доказывает всем свое внеземное происхождение и заранее назначает дату своего возвращения на Ка-Пэкс. 

Вскоре Марка Пауэлла; так и не сумевшего приоткрыть тайну личности своего самого удивительного подопечного; начинает тревожить невероятная; но навязчивая мысль: может быть; Прот вовсе не сумасшедший и в его словах есть доля правды…", Иэн Софтли, Чарльз Ливитт;  Джин Брюэр,Кевин Спейси; Джефф Бриджес; Мэри МакКормак; Элфри Вудард; Дэвид Патрик Келли,'https://st.kp.yandex.net/images/film_iphone/iphone360_723.jpg'
